"density","year","lat","lon","quarter","haul.id","IDx","ices_rect","sub_div","density_fle","depth","oxy","temp","X","Y"
158.152141799867,1993,54.6833,13,1,"1993:1:GFR:SOL:H20:21:1","1993.1.GFR.06S1.H20.21.1","38G3","24",19.2556975601982,8.86789051159221,8.51775772145009,NA,371.065882393692,6061.38679358094
10.3256795764122,1993,54.5167,14.2667,1,"1993:1:GFR:SOL:H20:22:32","1993.1.GFR.06S1.H20.22.32","38G4","24",13.6988526799094,6.86789051159218,8.91490130600373,NA,452.53015469093,6041.25979625592
5.25837035278433,1993,54.5167,14.15,1,"1993:1:GFR:SOL:H20:23:31","1993.1.GFR.06S1.H20.23.31","38G4","24",1.98813782871286,7.63401707979938,8.90905090429222,NA,444.975800708309,6041.34479490328
19.5525433647793,1993,54.4833,13.9833,1,"1993:1:GFR:SOL:H20:24:30","1993.1.GFR.06S1.H20.24.30","37G3","24",3.88777518633051,5.61904722403867,8.90048856108513,NA,434.131231368106,6037.77172551276
812.163823470743,1993,54.7333,13.0833,1,"1993:1:GFR:SOL:H20:25:2","1993.1.GFR.06S1.H20.25.2","38G3","24",34.2636016920643,12.8678905115922,8.45129749989583,NA,376.587254380782,6066.79963180069
364.506557360823,1993,54.7,13.1833,1,"1993:1:GFR:SOL:H20:26:3","1993.1.GFR.06S1.H20.26.3","38G3","24",27.7115401925271,15.2715527654788,8.47481011222204,NA,382.929407064085,6062.92351543716
23.2666537505925,1993,54.55,13.8,1,"1993:1:GFR:SOL:H20:27:27","1993.1.GFR.06S1.H20.27.27","38G3","24",25.3373329123686,10.8678905115922,8.58464513862389,NA,422.382907763457,6045.37990686378
2308.89481113826,1993,54.7,14.1167,1,"1993:1:GFR:SOL:H20:28:24","1993.1.GFR.06S1.H20.28.24","38G4","24",21.6635728700939,14.8678905115922,8.44853112140467,NA,443.076544096732,6061.76666695213
30.9401787086291,1993,54.5833,14.0833,1,"1993:1:GFR:SOL:H20:29:29","1993.1.GFR.06S1.H20.29.29","38G4","24",8.65576229208504,9.86789051159221,8.81164795908594,NA,440.75472552342,6048.80932223614
6.8961669729302,1993,54.5833,13.8667,1,"1993:1:GFR:SOL:H20:30:28","1993.1.GFR.06S1.H20.30.28","38G3","24",9.94313831340162,9.86789051159218,8.52907339883532,NA,426.756655812943,6049.01342641196
279.724798480578,1993,54.6333,14.15,1,"1993:1:GFR:SOL:H20:31:25","1993.1.GFR.06S1.H20.31.25","38G4","24",4.20790176905526,15.1021808062477,8.63347300226895,NA,445.132650748598,6054.31854439127
806.4099050502,1993,54.7333,13.3667,1,"1993:1:GFR:SOL:H20:32:5","1993.1.GFR.06S1.H20.32.5","38G3","24",51.3160556747936,19.8678905115922,8.25273039425839,NA,394.833065132151,6066.3379733912
677.398777567589,1993,54.7333,13.5167,1,"1993:1:GFR:SOL:H20:33:6","1993.1.GFR.06S1.H20.33.6","38G3","24",53.5078560061355,20.8678905115922,8.30288906253402,NA,404.490695857316,6066.12346290396
1342.54134438475,1993,54.6833,13.6333,1,"1993:1:GFR:SOL:H20:34:7","1993.1.GFR.06S1.H20.34.7","38G3","24",156.80922661387,20.4000429543212,8.35973467823959,NA,411.889712420494,6060.40782782333
409.701528858884,1993,54.6667,13.7333,1,"1993:1:GFR:SOL:H20:35:26","1993.1.GFR.06S1.H20.35.26","38G3","24",52.4170864396945,17.8678905115922,8.18810600440375,NA,418.302967277682,6058.4399403628
1314.01098715685,1993,54.7,13.85,1,"1993:1:GFR:SOL:H20:36:9","1993.1.GFR.06S1.H20.36.9","38G3","24",72.8481331146168,19.8678905115922,8.04337668631492,NA,425.889984353801,6062.01557983619
701.450831885524,1993,54.7667,13.6667,1,"1993:1:GFR:SOL:H20:37:8","1993.1.GFR.06S1.H20.37.8","38G3","24",162.916979491625,27.931585418851,7.89244230484635,NA,414.219179127919,6069.64583471616
633.210002237618,1993,54.85,14.0167,1,"1993:1:GFR:SOL:H20:38:10","1993.1.GFR.06S1.H20.38.10","38G4","24",134.013617082868,24.8678905115922,7.45599026729862,NA,436.866347244064,6078.54275216579
49.7073210741556,1993,54.9667,13.8833,1,"1993:1:GFR:SOL:H20:39:11","1993.1.GFR.06S1.H20.39.11","38G3","24",31.5203039556399,33.8678905115922,6.42264082510224,NA,428.508731938771,6091.65632969706
793.078396671463,1993,54.9167,13.6167,1,"1993:1:GFR:SOL:H20:40:12","1993.1.GFR.06S1.H20.40.12","38G3","24",107.056814827388,32.8678905115922,6.44172298647461,NA,411.332019129703,6086.39791049652
512.994158668007,1993,54.8667,13.2167,1,"1993:1:GFR:SOL:H20:41:13","1993.1.GFR.06S1.H20.41.13","38G3","24",164.707340547541,29.8678905115922,6.96226690706686,NA,385.553268775517,6081.41485689871
567.300534727709,1993,54.9333,13.1,1,"1993:1:GFR:SOL:H20:42:14","1993.1.GFR.06S1.H20.42.14","38G3","24",106.863835966722,27.8678905115922,7.47462814294985,NA,378.265822605993,6089.0214562145
323.078203364629,1993,54.9833,13.3167,1,"1993:1:GFR:SOL:H20:43:15","1993.1.GFR.06S1.H20.43.15","38G3","24",81.1387853148481,31.8678905115922,6.52315719702785,NA,392.282334411695,6094.22911992358
374.879727896361,1993,55.0333,13.4333,1,"1993:1:GFR:SOL:H20:44:16","1993.1.GFR.06S1.H20.44.16","39G3","24",213.2525561555,30.8635296685731,6.46622657995106,NA,399.867793843502,6099.61902262141
