"cpue","year","lat","lon","quarter","depth","gear","X","Y","SubDiv"
0,1991,57.0632,17.9483,4,68,"FOT",678.767009997641,6328.2826334888,"27"
5.23642869028358,1991,54.5167,13.8,4,20,"H20",422.319698421752,6041.67486796453,"24"
0,1991,54.6,13.9,4,22,"H20",428.937771866229,6050.83736261183,"24"
9.42839649395546,1991,54.5833,14.0833,4,22,"H20",440.75472552342,6048.80932223614,"24"
20.675266777888,1991,54.5167,14.15,4,19,"H20",444.975800708309,6041.34479490328,"24"
195.623178624401,1991,54.6,14.25,4,26,"H20",451.547958079585,6050.53979362084,"24"
471.494721912047,1991,54.6667,14.1167,4,28,"H20",443.0299306035,6058.06141643235,"24"
45.1730218768896,1991,54.7833,13.85,4,42,"H20",426.041909922224,6071.28410227001,"24"
42.9533522546842,1991,54.85,14.0333,4,42,"H20",437.932130718281,6078.5279215508,"24"
86.2542241923685,1991,55,14.2833,4,45,"H20",454.154161441001,6095.02630781145,"24"
50.1620421403358,1991,55.0667,14.3,4,47,"H20",455.296721737785,6102.43764950947,"24"
82.425654846004,1991,55.1833,14.2833,4,47,"H20",454.363407831557,6115.42350817607,"24"
10.5473950446369,1991,55.15,14.2167,4,48,"H20",450.08108906746,6111.76351175079,"24"
54.2288649145994,1991,54.9333,13.95,4,49,"H20",432.722943168497,6087.87373718208,"24"
130.739882760306,1991,55.1,13.85,4,48,"H20",426.620958491905,6106.52341140056,"24"
48.497997011237,1991,54.9833,13.6833,4,48,"H20",415.74018265838,6093.72604451307,"24"
68.630709612823,1991,55.0333,13.6,4,47,"H20",410.521290292011,6099.39294801818,"24"
32.1448410982254,1991,55.0167,13.4833,4,47,"H20",403.023102059943,6097.70152831851,"24"
36.0423454304753,1991,54.95,13.1167,4,44,"H20",379.385680237881,6090.85053593703,"24"
42.0526270827491,1991,54.65,13.8,4,31,"H20",422.572884777217,6056.50626775543,"24"
56.0054815856222,1991,54.6833,13.6667,4,37,"H20",414.042859090545,6060.36642413348,"24"
138.565110516098,1991,54.75,13.7,4,43,"H20",416.327045715088,6067.74749074078,"24"
32.0059191105889,1991,54.7167,13.5667,4,40,"H20",407.672228016179,6064.2095938925,"24"
166.545780516248,1991,54.75,13.45,4,42,"H20",400.2372956236,6068.07435183296,"24"
6.62768383392852,1991,54.7167,13.3167,4,32,"H20",391.569597221505,6064.56718446312,"24"
132.985177561086,1991,54.7167,13.1167,4,27,"H20",378.687981764396,6064.89457488479,"24"
305.936664887191,1992,54.65,13.1167,4,19,"H20",378.488884080664,6057.47398275069,"24"
524.472686416889,1992,54.7167,13.1167,4,25,"H20",378.687981764396,6064.89457488479,"24"
45.4278211065452,1992,54.8667,13.2,4,45,"H20",384.481632281834,6081.44227107607,"24"
70.5144708406612,1992,54.9167,13.1,4,45,"H20",378.21568179094,6087.17459214183,"24"
77.3822193793399,1992,54.9833,13.1167,4,49,"H20",379.485431002592,6094.55542467347,"24"
55.5952904818389,1992,55.0167,13.45,4,47,"H20",400.894095586331,6097.74822141845,"24"
45.7550444873291,1992,55.0333,13.55,4,48,"H20",407.325851778937,6099.4580888979,"24"
82.4543002064323,1992,55.1,13.7667,4,47,"H20",421.306036991391,6106.61408482853,"24"
45.7043306636598,1992,55.1,13.8667,4,47,"H20",427.686501534783,6106.50599600927,"24"
52.4380624588811,1992,55.1333,14.1667,4,47,"H20",446.872536178969,6109.94206908288,"24"
101.521735394577,1992,55.1833,14.2833,4,48,"H20",454.363407831557,6115.42350817607,"24"
22.746749591572,1992,55.1,14.35,4,49,"H20",458.524236408043,6106.11236856952,"24"
121.29079846587,1992,55.0333,14.3,4,47,"H20",455.25950152401,6098.72099528596,"24"
65.9129375538886,1992,54.9333,13.9667,4,48,"H20",433.792929071482,6087.8578138016,"24"
178.527162497042,1992,55,13.6333,4,47,"H20",412.577038036114,6095.6455920534,"24"
51.1351180161867,1992,54.8667,14.0333,4,42,"H20",437.95777082403,6080.38614821961,"24"
120.126399028417,1992,54.7,14.1,4,29,"H20",442.000357029443,6061.78033662351,"24"
798.80880554912,1992,54.6333,14.2167,4,32,"H20",449.438031837183,6054.26849953868,"24"
19.7579177342614,1992,54.5667,14.1333,4,22,"H20",443.963316318244,6046.9213026278,"24"
22.6217265834394,1992,54.5167,14.3667,4,19,"H20",459.003517105958,6041.19693027175,"24"
5.8511353724633,1992,54.5,14.2,4,20,"H20",448.191322211071,6039.44869422648,"24"
44.2897414231534,1992,54.5,13.9,4,17,"H20",428.763737803124,6039.71096287324,"24"
132.169278605431,1992,54.5167,13.8,4,21,"H20",422.319698421752,6041.67486796453,"24"
18.1718674488953,1992,54.5667,13.8833,4,20,"H20",427.800104555885,6047.14927147041,"24"
204.379918820817,1992,54.75,13.8167,4,41,"H20",423.837929070221,6067.61454718225,"24"
124.653019975953,1992,54.6333,13.8,4,30,"H20",422.541142020495,6054.64815318291,"24"
143.843387260279,1992,54.6833,13.65,4,38,"H20",412.966284531274,6060.38699790969,"24"
161.839278133367,1992,54.75,13.7,4,23,"H20",416.327045715088,6067.74749074078,"24"
146.384573656994,1992,54.7333,13.55,4,42,"H20",406.634720210517,6066.07864302815,"24"
11.4787585231595,1992,54.7833,13.4167,4,43,"H20",398.177834818453,6071.82719376014,"24"
84.5461528457104,1992,54.7,13.3333,4,31,"H20",392.594663838271,6062.68365326288,"24"
564.613868896842,1993,55.9333,17.04,4,46,"FOT",627.439362864091,6200.53579939438,"25"
447.783878697773,1993,55.8333,17.7116,4,61,"FOT",669.82039651001,6190.85252348293,"25"
