"density","year","lat","lon","quarter","haul.id","IDx","ices_rect","SD","density_fle","depth","oxy","temp","X","Y"
71.001103249515,1993,57.4716,17.0833,4,"1993:4:SWE:ARG:FOT:262:31","1993.4.SWE.77AR.FOT.262.31","43G7","27",172.597451705374,73,7.61558733214111,5.70518938700358,624.939283853294,6371.79964567609
144.276119992305,1993,57.4767,17.555,4,"1993:4:SWE:ARG:FOT:263:32","1993.4.SWE.77AR.FOT.263.32","43G7","27",12.8377717917388,88,6.17590637577667,4.26763677597046,653.19946070073,6373.33285435193
850.935979464692,1993,54.6833,13.65,4,"1993:4:GFR:SOL:H20:34:60","1993.4.GFR.06S1.H20.34.60","38G3","24",226.139226904169,20,6.7511925414917,8.14884424209595,412.966284531274,6060.38699790969
19.176614878897,1993,57.0817,18.8633,4,"1993:4:SWE:ARG:FOT:256:25","1993.4.SWE.77AR.FOT.256.25","43G8","28",25.4156057628417,75,7.34068291161702,4.09895737965902,734.100099837887,6333.10966869971
4.24206660030745,1993,57.81,19.5383,4,"1993:4:SWE:ARG:FOT:258:27","1993.4.SWE.77AR.FOT.258.27","44G9","28",45.9674474753404,86,7.45127146285299,4.23193963368734,769.552721302949,6416.59906254738
827.743087719323,1993,54.5833,13.8667,4,"1993:4:GFR:SOL:H20:30:48","1993.4.GFR.06S1.H20.30.48","38G3","24",167.229394044154,10,6.53427750893351,8.06753079096476,426.756655812943,6049.01342641196
119.911500770407,1993,54.6667,13.05,4,"1993:4:GFR:SOL:H20:21:65","1993.4.GFR.06S1.H20.21.65","38G3","24",36.622175342169,8,7.24777766840922,7.71916818618774,374.237517031615,6059.44932922671
10.6828863953051,1993,54.4833,14.0333,4,"1993:4:GFR:SOL:H20:24:46","1993.4.GFR.06S1.H20.24.46","37G4","24",51.6796415310169,7,7.76384345231221,7.40271266301473,437.370470522518,6037.72608611565
961.321851432911,1993,55.9333,17.04,4,"1993:4:SWE:ARG:FOT:249:18","1993.4.SWE.77AR.FOT.249.18","40G7","25",19.0753350156441,32,7.72311758855387,7.2960106531779,627.439362864091,6200.53579939438
130.715212418394,1993,57.1767,18.855,4,"1993:4:SWE:ARG:FOT:255:24","1993.4.SWE.77AR.FOT.255.24","43G8","28",196.224838466527,45,7.7648005503123,4.84110577901204,732.999511591232,6343.64653632825
726.787451769559,1993,54.6333,14.1667,4,"1993:4:GFR:SOL:H20:31:42","1993.4.GFR.06S1.H20.31.42","38G4","24",223.985208745787,14,7.546757362972,7.70146608352661,446.210607509017,6054.30563081538
5.54856888435102,1993,57.3733,16.9083,4,"1993:4:SWE:ARG:FOT:261:30","1993.4.SWE.77AR.FOT.261.30","43G6","27",52.0090298156893,23,7.29697460111593,6.80606110890706,614.75309482728,6360.55085329372
249.028733422377,1993,54.5833,14.1333,4,"1993:4:GFR:SOL:H20:29:45","1993.4.GFR.06S1.H20.29.45","38G4","24",125.61153940803,10,7.65883987084351,7.57516781489054,443.986085360462,6048.76833465044
4730.08197785469,1993,55.8633,16.0116,4,"1993:4:SWE:ARG:FOT:264:33","1993.4.SWE.77AR.FOT.264.33","40G6","25",133.023531133198,43,6.76792831794434,6.72752332687378,563.312580083473,6191.3280519877
652.277908108372,1993,54.7333,13.8167,4,"1993:4:GFR:SOL:H20:36:49","1993.4.GFR.06S1.H20.36.49","38G3","24",128.161102417983,23,5.99994304292806,8.31161387761434,423.806588916417,6065.7563993464
1018.80511938085,1993,54.7667,13.4167,4,"1993:4:GFR:SOL:H20:32:62","1993.4.GFR.06S1.H20.32.62","38G3","24",138.936000045166,26,6.44502299555562,8.21786530812581,398.13613190033,6069.98026681513
604.481194135828,1993,54.8667,13.15,4,"1993:4:GFR:SOL:H20:41:35","1993.4.GFR.06S1.H20.41.35","38G3","24",133.938675837099,30,6.14273047094472,8.43745295206706,381.273159707192,6081.5258777794
214.922667909012,1993,54.9167,13.1,4,"1993:4:GFR:SOL:H20:42:36","1993.4.GFR.06S1.H20.42.36","38G3","24",256.775852490678,28,5.54781548254954,8.61561663945516,378.21568179094,6087.17459214183
6303.44218316035,1993,56.1133,17.5917,4,"1993:4:SWE:ARG:FOT:252:21","1993.4.SWE.77AR.FOT.252.21","41G7","25",5.78693392339636,36,7.3993373938619,7.08533652623494,661.144694951714,6221.71604843368
372.373754079856,1993,54.9833,13.3167,4,"1993:4:GFR:SOL:H20:43:37","1993.4.GFR.06S1.H20.43.37","38G3","24",123.62990723831,32,4.90375002693837,8.60288588205973,392.282334411695,6094.22911992358
567.191733968477,1993,55,13.65,4,"1993:4:GFR:SOL:H20:40:40","1993.4.GFR.06S1.H20.40.40","39G3","24",41.2638259239547,33,3.36805529457823,9.15104420979818,413.645210010769,6095.62484405002
13.434660265698,1993,57.86,19.475,4,"1993:4:SWE:ARG:FOT:259:28","1993.4.SWE.77AR.FOT.259.28","44G9","28",100.248219468828,68,7.38283895584717,4.1523871421814,765.428053124027,6421.90764047264
667.177440039011,1993,54.7333,13.5167,4,"1993:4:GFR:SOL:H20:33:61","1993.4.GFR.06S1.H20.33.61","38G3","24",103.944396836027,21,6.878648293632,8.03630701700846,404.490695857316,6066.12346290396
568.897422312285,1993,55.0333,13.4167,4,"1993:4:GFR:SOL:H20:44:38","1993.4.GFR.06S1.H20.44.38","39G3","24",133.375430862997,30,4.55569964230728,8.74136257171631,398.806933170036,6099.64292642853
882.299139654653,1993,55.05,13.6167,4,"1993:4:GFR:SOL:H20:50:39","1993.4.GFR.06S1.H20.50.39","39G3","24",59.2661921501096,32,3.68170756398951,9.09100723266602,411.625347027139,6101.2298867009
