"","year","est","lwr","upr","log_est","se"
"1",1993,3.08029135259521,2.95308056837181,3.20582434847214,1.12608025174288,0.0205771947474688
"2",1994,3.00482040774699,2.94005321473375,3.05915187772238,1.09904718688823,0.0104298357244356
"3",1995,2.97697408422094,2.90725231558925,3.03117826726357,1.08997696253172,0.00986911072572645
"4",1996,3.33705026900853,3.27353272319235,3.430475868001,1.20670780966198,0.0118400082851792
"5",1997,2.88383999633383,2.82196344188257,2.95270882020119,1.05903660305752,0.0125276589568279
"6",1998,2.78989180597671,2.72874081012174,2.84720950836952,1.02727279657949,0.0107003694155151
"7",1999,2.82575274589883,2.77754081567673,2.88064970261505,1.03954358968594,0.00995624770598662
"8",2000,2.88480134983607,2.84366999194066,2.91917715449283,1.05811517776362,0.00678715237539524
"9",2001,2.77640289553492,2.72570736691222,2.81537873288167,1.02010578533602,0.00857668634539677
"10",2002,2.74905008659283,2.71191098163623,2.79806867203136,1.01209136738976,0.00844632333240458
"11",2003,2.83478310653822,2.79687591542053,2.8594530265445,1.04151184488896,0.00569679919962858
"12",2004,2.6753835380768,2.64692037024854,2.71572374981081,0.985164088926933,0.00649581480122299
"13",2005,2.63405323497917,2.61004635507611,2.65685713939958,0.96829081638098,0.00462681478345407
"14",2006,2.66593412958246,2.64064403953357,2.68937157295903,0.980125332573174,0.00505978969496739
"15",2007,2.68237687713954,2.65230812081844,2.71151856353303,0.986361742996268,0.00549357371970307
"16",2008,2.59475332487764,2.57689884797094,2.62410032691912,0.954346898459862,0.00464841667016296
"17",2009,2.58791964194833,2.56124553438931,2.62191839656688,0.951402437797746,0.00586149478528437
"18",2010,2.62980538538896,2.60736947555136,2.65574258707705,0.967379248755998,0.00506440275426684
"19",2011,2.58204186101905,2.55872974931099,2.60700530865619,0.948864586301891,0.0048468147425687
"20",2012,2.61633498163614,2.58896877913466,2.64115463743146,0.961828627652237,0.00497913917079285
"21",2013,2.5901870720536,2.5627342175377,2.61299652340976,0.951454336103188,0.00523115322685092
"22",2014,2.57576378960431,2.54616720763442,2.59403491731164,0.945243740873522,0.00511451457111667
"23",2015,2.60656121419177,2.57749659714261,2.64199002666709,0.958705945791226,0.00603701917095708
"24",2016,2.5943394966588,2.56837994844545,2.61642700321733,0.953273141280538,0.00502451171318568
"25",2017,2.55542534006725,2.52030951920859,2.57994768005996,0.937842934050432,0.00566223754835475
"26",2018,2.52987868906597,2.51075359064567,2.56183675390575,0.928617094063783,0.00525353121843765
"27",2019,2.59806558921963,2.57093437612979,2.62819784998168,0.954828915675132,0.00582064105952725
